Age,Age_Coded_Bin,Gender,Gender_Coded,Country,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,UsageOfAppsAvg,SleepDurationMinutesAvg,SDurC,SDist,SDist_SQRT,SDistC,SleepingTimeAverageWeekly,SleepingTimeWeeklyCategory,STime,WakeupTimeWeeklyAverage,WakeupTimeWeeklyCategory,WTime
25 - 34,1.0,Male,1.0,United States,6,2,8,4,4,71.65,545.09,3,0.0,0.0,0,10:59:51 PM,Regular Sleep,2,8:04:51 AM,Delayed Wakeup,3
35 - 44,1.0,Male,1.0,United States,5,5,7,4,4,91.73,461.55,2,0.0,0.0,0,10:16:51 PM,Regular Sleep,2,5:58:43 AM,Early Wakup,1
25 - 34,1.0,Male,1.0,Australia,4,6,8,6,9,93.38,451.49,2,0.34,0.58,1,11:04:51 PM,Delayed Sleep,3,6:36:26 AM,Early Wakup,1
25 - 34,1.0,Male,1.0,France,3,8,6,6,9,104.45,519.27,2,0.43,0.66,1,11:11:34 PM,Delayed Sleep,3,7:50:51 AM,Regular Wakeup,2
45 - 54,1.0,Male,1.0,Canada,5,6,5,6,6,104.86,444.89,2,5.42,2.33,1,12:28:09 AM,Poor Sleep Time,4,7:53:00 AM,Regular Wakeup,2
15 - 24,0.0,Male,1.0,United States,6,7,7,8,8,106.18,559.87,3,2.9,1.7,1,12:24:34 AM,Poor Sleep Time,4,9:44:26 AM,Poor Wakeup,4
45 - 54,1.0,Male,1.0,United Kingdom,3,7,9,8,8,117.51,580.2,3,0.0,0.0,0,9:49:00 PM,Early Sleep,1,7:29:17 AM,Regular Wakeup,2
45 - 54,1.0,Male,1.0,United Kingdom,8,10,7,4,9,122.65,479.07,2,0.0,0.0,0,10:14:00 PM,Regular Sleep,2,6:12:51 AM,Early Wakup,1
35 - 44,1.0,Male,1.0,Netherlands,7,7,10,6,10,124.37,578.21,3,0.03,0.17,1,9:31:51 PM,Early Sleep,1,7:10:09 AM,Regular Wakeup,2
25 - 34,1.0,Male,1.0,Germany,4,6,7,6,6,135.98,523.32,2,9.82,3.13,1,1:20:00 AM,Poor Sleep Time,4,10:03:17 AM,Poor Wakeup,4
35 - 44,1.0,Male,1.0,India,10,9,10,2,7,137.24,530.15,2,7.32,2.71,1,11:43:51 PM,Delayed Sleep,3,8:33:34 AM,Delayed Wakeup,3
25 - 34,1.0,Male,1.0,United States,8,5,9,4,6,138.2,451.08,2,1.96,1.4,1,12:00:43 AM,Poor Sleep Time,4,7:31:43 AM,Regular Wakeup,2
15 - 24,0.0,Male,1.0,United States,6,7,9,8,6,139.07,544.54,3,0.25,0.5,1,10:47:51 PM,Regular Sleep,2,7:52:17 AM,Regular Wakeup,2
35 - 44,1.0,Male,1.0,Netherlands,6,7,7,6,6,140.17,583.94,3,0.18,0.42,1,10:47:17 PM,Regular Sleep,2,8:31:17 AM,Delayed Wakeup,3
25 - 34,1.0,Male,1.0,United Kingdom,6,7,8,6,8,143.84,516.94,2,2.13,1.46,1,11:00:09 PM,Delayed Sleep,3,7:37:09 AM,Regular Wakeup,2
15 - 24,0.0,Male,1.0,France,5,4,4,8,4,144.45,504.22,2,2.0,1.41,1,10:59:43 PM,Regular Sleep,2,7:24:17 AM,Regular Wakeup,2
25 - 34,1.0,Male,1.0,United Kingdom,10,4,6,3,3,146.51,486.33,2,3.46,1.86,1,11:46:00 PM,Delayed Sleep,3,7:52:51 AM,Regular Wakeup,2
15 - 24,0.0,Male,1.0,India,10,2,9,2,10,146.7,417.57,1,8.36,2.89,1,1:52:00 AM,Poor Sleep Time,4,8:50:00 AM,Delayed Wakeup,3
15 - 24,0.0,Male,1.0,United Kingdom,2,8,5,6,8,155.54,698.65,3,0.0,0.0,0,9:33:43 PM,Early Sleep,1,9:12:17 AM,Poor Wakeup,4
25 - 34,1.0,Male,1.0,Sweden,7,6,5,5,8,156.71,518.11,2,5.31,2.3,1,11:28:43 PM,Delayed Sleep,3,8:07:00 AM,Delayed Wakeup,3
35 - 44,1.0,Male,1.0,Canada,5,7,7,6,8,157.01,506.66,2,3.28,1.81,1,10:01:09 PM,Regular Sleep,2,6:27:34 AM,Early Wakup,1
25 - 34,1.0,Male,1.0,Netherlands,6,8,8,2,6,159.92,497.65,2,4.6,2.14,1,11:59:34 PM,Delayed Sleep,3,8:17:17 AM,Delayed Wakeup,3
25 - 34,1.0,Male,1.0,Australia,5,7,7,4,8,162.19,346.73,1,1.16,1.08,1,12:04:17 AM,Poor Sleep Time,4,5:51:00 AM,Early Wakup,1
15 - 24,0.0,Male,1.0,Canada,10,4,6,4,10,162.97,542.64,3,7.96,2.82,1,11:23:00 PM,Delayed Sleep,3,8:25:43 AM,Delayed Wakeup,3
25 - 34,1.0,Male,1.0,United Kingdom,7,8,7,5,5,163.38,484.94,2,8.6,2.93,1,11:23:00 PM,Delayed Sleep,3,7:27:43 AM,Regular Wakeup,2
25 - 34,1.0,Male,1.0,United States,7,7,6,5,7,164.08,410.16,1,4.88,2.21,1,1:24:51 AM,Poor Sleep Time,4,8:15:00 AM,Delayed Wakeup,3
45 - 54,1.0,Male,1.0,Canada,10,7,8,4,10,164.58,520.41,2,5.68,2.38,1,12:24:51 AM,Poor Sleep Time,4,9:05:09 AM,Poor Wakeup,4
35 - 44,1.0,Male,1.0,United States,5,6,9,6,7,164.87,533.59,2,1.45,1.2,1,10:00:43 PM,Regular Sleep,2,6:54:34 AM,Early Wakup,1
25 - 34,1.0,Male,1.0,United States,8,8,9,2,10,169.0,531.48,2,3.69,1.92,1,11:54:09 PM,Delayed Sleep,3,8:45:34 AM,Delayed Wakeup,3
15 - 24,0.0,Male,1.0,United States,4,7,6,3,8,171.63,533.8,2,2.48,1.57,1,11:08:26 PM,Delayed Sleep,3,8:02:26 AM,Delayed Wakeup,3
45 - 54,1.0,Male,1.0,United States,4,6,7,8,6,171.72,437.36,2,5.51,2.35,1,10:00:09 PM,Regular Sleep,2,5:17:26 AM,Early Wakup,1
25 - 34,1.0,Male,1.0,India,8,6,3,7,10,188.32,393.08,1,8.34,2.89,1,1:49:26 AM,Poor Sleep Time,4,8:22:43 AM,Delayed Wakeup,3
25 - 34,1.0,Male,1.0,United Kingdom,7,8,9,3,6,189.06,480.82,2,0.0,0.0,0,10:00:51 PM,Regular Sleep,2,6:01:43 AM,Early Wakup,1
25 - 34,1.0,Male,1.0,Germany,5,9,8,5,9,189.59,649.41,3,6.85,2.62,1,10:25:00 PM,Regular Sleep,2,9:14:17 AM,Poor Wakeup,4
15 - 24,0.0,Male,1.0,India,8,6,3,7,5,191.2,439.65,2,10.06,3.17,1,11:53:17 PM,Delayed Sleep,3,8:03:34 AM,Delayed Wakeup,3
15 - 24,0.0,Male,1.0,United States,9,5,9,10,8,191.24,469.66,2,9.68,3.11,1,12:37:00 AM,Poor Sleep Time,4,8:26:34 AM,Delayed Wakeup,3
25 - 34,1.0,Male,1.0,India,5,4,6,5,6,191.3,397.59,1,5.58,2.36,1,3:13:26 AM,Poor Sleep Time,4,9:51:26 AM,Poor Wakeup,4
25 - 34,1.0,Male,1.0,United States,6,3,8,4,10,193.29,540.59,3,0.0,0.0,0,8:59:00 PM,Early Sleep,1,5:59:17 AM,Early Wakup,1
15 - 24,0.0,Male,1.0,India,3,8,5,7,4,198.45,436.17,2,10.88,3.3,1,11:07:26 PM,Delayed Sleep,3,6:23:17 AM,Early Wakup,1
25 - 34,1.0,Male,1.0,United Kingdom,2,5,7,7,4,201.35,541.12,3,18.79,4.33,1,12:49:34 AM,Poor Sleep Time,4,9:50:43 AM,Poor Wakeup,4
15 - 24,0.0,Male,1.0,United States,6,8,5,7,10,204.76,524.43,2,0.0,0.0,0,9:35:51 PM,Early Sleep,1,6:20:17 AM,Early Wakup,1
25 - 34,1.0,Male,1.0,United Kingdom,5,5,6,8,9,213.97,563.29,3,11.32,3.36,1,10:56:43 PM,Regular Sleep,2,8:20:00 AM,Delayed Wakeup,3
15 - 24,0.0,Male,1.0,United States,6,7,9,4,7,215.61,494.62,2,10.81,3.29,1,10:39:43 PM,Regular Sleep,2,6:54:17 AM,Early Wakup,1
35 - 44,1.0,Male,1.0,United States,3,4,8,6,5,220.05,537.9,2,29.75,5.45,1,11:09:09 PM,Delayed Sleep,3,8:07:09 AM,Delayed Wakeup,3
15 - 24,0.0,Male,1.0,Brazil,4,7,6,6,6,220.29,620.3,3,0.0,0.0,0,10:29:00 PM,Regular Sleep,2,8:49:34 AM,Delayed Wakeup,3
35 - 44,1.0,Male,1.0,Canada,10,7,10,6,9,223.76,507.66,2,0.0,0.0,0,10:48:17 PM,Regular Sleep,2,7:15:51 AM,Regular Wakeup,2
25 - 34,1.0,Male,1.0,United States,5,7,6,8,8,224.21,407.81,1,2.18,1.48,1,10:36:34 PM,Regular Sleep,2,5:24:43 AM,Early Wakup,1
35 - 44,1.0,Male,1.0,France,6,8,6,7,6,228.28,484.42,2,6.91,2.63,1,11:47:26 PM,Delayed Sleep,3,7:51:43 AM,Regular Wakeup,2
15 - 24,0.0,Male,1.0,Brazil,5,7,6,10,4,238.11,389.42,1,6.4,2.53,1,1:24:09 AM,Poor Sleep Time,4,7:53:17 AM,Regular Wakeup,2
35 - 44,1.0,Male,1.0,Germany,7,7,7,8,6,242.14,429.97,2,10.51,3.24,1,11:52:34 PM,Delayed Sleep,3,7:02:34 AM,Regular Wakeup,2
15 - 24,0.0,Male,1.0,India,5,7,4,6,7,243.73,443.96,2,0.14,0.37,1,10:20:51 PM,Regular Sleep,2,5:44:51 AM,Early Wakup,1
25 - 34,1.0,Male,1.0,United States,10,9,8,3,7,244.07,483.33,2,0.01,0.1,0,11:04:09 PM,Delayed Sleep,3,7:07:43 AM,Regular Wakeup,2
35 - 44,1.0,Male,1.0,United Kingdom,4,7,5,5,9,244.34,463.19,2,13.01,3.61,1,12:15:00 AM,Poor Sleep Time,4,7:58:09 AM,Regular Wakeup,2
15 - 24,0.0,Male,1.0,India,5,7,10,5,8,249.22,603.49,3,6.56,2.56,1,11:58:26 PM,Delayed Sleep,3,10:02:00 AM,Poor Wakeup,4
15 - 24,0.0,Male,1.0,United States,3,6,5,8,8,253.54,541.59,3,11.07,3.33,1,12:00:09 AM,Poor Sleep Time,4,9:02:00 AM,Poor Wakeup,4
25 - 34,1.0,Male,1.0,United States,8,7,8,5,6,260.58,430.82,2,13.28,3.64,1,1:01:17 AM,Poor Sleep Time,4,8:12:17 AM,Delayed Wakeup,3
15 - 24,0.0,Male,1.0,France,3,6,6,6,10,262.26,426.53,2,0.26,0.51,1,12:31:17 AM,Poor Sleep Time,4,7:38:00 AM,Regular Wakeup,2
15 - 24,0.0,Male,1.0,United States,6,8,6,8,10,268.47,478.04,2,9.49,3.08,1,1:37:17 AM,Poor Sleep Time,4,9:35:17 AM,Poor Wakeup,4
25 - 34,1.0,Male,1.0,United Kingdom,9,4,5,6,9,281.82,346.46,1,4.26,2.06,1,12:34:17 AM,Poor Sleep Time,4,6:20:43 AM,Early Wakup,1
25 - 34,1.0,Male,1.0,Canada,6,9,8,3,8,285.22,494.12,2,1.43,1.2,1,11:34:26 PM,Delayed Sleep,3,7:48:43 AM,Regular Wakeup,2
15 - 24,0.0,Male,1.0,United States,8,4,7,3,5,290.26,524.71,2,1.96,1.4,1,11:57:00 PM,Delayed Sleep,3,8:42:00 AM,Delayed Wakeup,3
15 - 24,0.0,Male,1.0,United States,6,7,5,7,6,290.39,393.1,1,2.31,1.52,1,2:41:26 AM,Poor Sleep Time,4,9:14:51 AM,Poor Wakeup,4
25 - 34,1.0,Male,1.0,United Kingdom,3,3,5,6,5,317.51,481.19,2,0.01,0.1,0,10:28:51 PM,Regular Sleep,2,6:30:00 AM,Early Wakup,1
25 - 34,1.0,Male,1.0,United States,6,6,6,8,5,319.98,387.09,1,1.76,1.33,1,10:54:17 PM,Regular Sleep,2,5:21:51 AM,Early Wakup,1
15 - 24,0.0,Male,1.0,India,7,9,7,3,9,321.13,549.07,3,5.31,2.3,1,11:57:09 PM,Delayed Sleep,3,9:06:34 AM,Poor Wakeup,4
15 - 24,0.0,Male,1.0,United States,10,8,9,3,9,324.03,431.7,2,5.03,2.24,1,12:26:17 AM,Poor Sleep Time,4,7:38:17 AM,Regular Wakeup,2
25 - 34,1.0,Male,1.0,India,2,9,5,6,5,325.78,375.91,1,12.91,3.59,1,2:23:00 AM,Poor Sleep Time,4,8:13:34 AM,Delayed Wakeup,3
25 - 34,1.0,Male,1.0,United States,7,9,9,3,6,334.63,467.64,2,9.8,3.13,1,12:56:09 AM,Poor Sleep Time,4,8:44:00 AM,Delayed Wakeup,3
15 - 24,0.0,Male,1.0,United States,4,7,6,8,5,339.33,435.45,2,20.6,4.54,1,12:58:43 AM,Poor Sleep Time,4,8:14:17 AM,Delayed Wakeup,3
15 - 24,0.0,Male,1.0,France,2,8,4,6,10,341.12,503.79,2,0.0,0.0,0,10:54:17 PM,Regular Sleep,2,7:18:00 AM,Regular Wakeup,2
35 - 44,1.0,Male,1.0,United States,10,8,6,8,6,351.47,470.44,2,3.25,1.8,1,9:43:26 PM,Early Sleep,1,5:34:00 AM,Early Wakup,1
25 - 34,1.0,Male,1.0,United States,6,7,7,6,6,355.66,537.09,2,19.24,4.39,1,11:36:17 PM,Delayed Sleep,3,8:33:43 AM,Delayed Wakeup,3
